Station_Name,Lon,Lat,Station_ID,Passenger_Volume,Nearest_Police_Distance,Nearest_Fire_Distance,Nearest_Hospital_Distance,Betweenness Centrality,Crime_Index,Base_Attractiveness_Score_MIDDAY_BASE
Riverway,-71.11190623,42.33154314,86,0.003856,0.068153,0.115492,0.058063,0.060032,0.103419,0.072304609
Saint Marys Street,-71.1074133,42.34593902,89,0.023624,0.121399,0.142147,0.088697,0.327745,0.094229,0.11984450599999999
South Street,-71.15725216,42.33947194,96,0.002081,0.109149,0.087457,0.140099,0.030287,0.052356,0.077189131
Science Park,-71.06781746,42.36674975,93,0.064631,0.081144,0.093337,0.051877,0.030287,0.235428,0.09345515099999999
Sutherland Road,-71.14627236,42.34157797,102,0.00765,0.103452,0.082064,0.041858,0.117902,0.108098,0.082774744
Saint Paul Street C,-71.11726117,42.34320646,91,0.041496,0.085248,0.201486,0.088987,0.25311,0.033287,0.111457071
Saint Paul Street(B),-71.11631147,42.35118253,90,0.020197,0.028438,0.133932,0.140999,0.351541,0.035601,0.07626425
Summit Avenue,-71.12577232,42.3410482,101,0.009854,0.094013,0.210275,0.136297,0.200649,0.030586,0.110007049
Symphony,-71.08485866,42.34268955,103,0.051533,0.034766,0.059777,0.098339,0.25311,0.523354,0.10889143999999999
Tappan Street,-71.13845491,42.33853131,104,0.00459,0.125078,0.18669,0.09611,0.089237,0.049519,0.110171018
Waban,-71.23056452,42.32580887,106,0.011323,0.244466,0.585102,0.67711,0.060032,0.0,0.265746878
Washington Street,-71.14262516,42.34404537,109,0.008507,0.105901,0.115313,0.040459,0.146025,0.134398,0.09634083099999999
Woodland,-71.24336702,42.3329034,114,0.008507,0.18964,0.585577,0.731571,0.030287,0.0,0.242758355
Warren Street,-71.14041885,42.34839892,107,0.011629,0.111466,0.121071,0.043908,0.173607,0.154599,0.10435784
Babcock Street,-71.12183062,42.35184066,9,0.032254,0.025522,0.099424,0.175708,0.303407,0.066879,0.069885904
Allston Street,-71.13801669,42.3487252,3,0.014872,0.079182,0.092122,0.06416,0.200649,0.154328,0.08688140899999999
Arlington,-71.07096127,42.35182125,6,0.410184,0.035221,0.030237,0.07694,0.862628,0.588035,0.201838827
Back of the Hill,-71.11100533,42.32943019,11,0.002999,0.086186,0.134153,0.077463,0.030287,0.115627,0.084028808
Beaconsfield,-71.14058364,42.33580371,13,0.026868,0.159901,0.157114,0.102582,0.22715,0.03559,0.127900556
Washington Square,-71.13480835,42.33951239,108,0.006182,0.111743,0.166863,0.075498,0.117902,0.044509,0.10083913900000001
